customer_id,uplift_score,customer_segment
12346,-0.004325509,lost_cause
12347,-0.00068612455,sure_thing
12348,0.00022809237,sure_thing
12349,-0.00047849884,sure_thing
12350,-0.0009970665,lost_cause
12351,-0.00052952766,lost_cause
12352,0.00064357923,sure_thing
12353,-0.00023239851,lost_cause
12354,-0.0009970665,lost_cause
12355,-0.0019584894,lost_cause
12356,-0.00068612455,sure_thing
12357,0.00022809237,sure_thing
12358,-0.0007054243,sure_thing
12359,-0.00017849664,sure_thing
12360,-0.00039414407,sure_thing
12361,-0.0011592507,lost_cause
12362,-0.00030259963,sure_thing
12363,0.00079934835,sure_thing
12364,0.00084711955,sure_thing
12365,-0.0005995035,lost_cause
12366,-0.00052952766,lost_cause
12367,0.0007083413,sure_thing
12368,-0.001537621,lost_cause
12369,-0.00069242716,lost_cause
12370,-0.0007054243,sure_thing
12371,-0.00034978404,sure_thing
12372,0.0007606755,sure_thing
12373,-0.0012510419,lost_cause
12374,0.00021248235,sure_thing
12375,-1.4827412e-05,sure_thing
12376,-0.00039356947,lost_cause
12377,-0.00058209896,lost_cause
12378,-0.00040804275,sure_thing
12379,0.00012134662,sure_thing
12380,-0.0007277599,sure_thing
12381,0.00057656626,sure_thing
12383,-0.0006276965,lost_cause
12384,-6.957445e-05,sure_thing
12385,0.00011408329,lost_cause
12386,-0.00040757656,lost_cause
12387,-0.0003709197,lost_cause
12388,0.00039623628,sure_thing
12389,-0.0011652708,lost_cause
12390,0.0007083413,sure_thing
12391,-0.0007277599,sure_thing
12392,-0.00032871962,lost_cause
12393,0.00033952208,sure_thing
12394,-0.00045897375,sure_thing
12395,0.0001415378,sure_thing
12396,-0.00052952766,lost_cause
12397,0.0007606755,sure_thing
12398,-0.00011549116,sure_thing
12399,-0.00034978404,sure_thing
12400,-0.0003581643,lost_cause
12401,-0.0007464886,lost_cause
12402,-0.0009537339,lost_cause
12403,0.0003261533,sure_thing
12405,-0.00011549116,sure_thing
12406,-0.0007277599,sure_thing
12407,-0.0003472231,sure_thing
12408,-0.00017849664,sure_thing
12409,-0.0003731358,sure_thing
12410,-0.0005503893,lost_cause
12411,-0.0001488328,lost_cause
12412,-0.00047849884,sure_thing
12413,-0.00019157233,sure_thing
12414,-0.0034213066,lost_cause
12415,-0.00017849664,sure_thing
12416,-0.0003709197,lost_cause
12417,-0.0004284322,sure_thing
12418,-0.00017849664,sure_thing
12419,-0.0011655092,lost_cause
12420,0.0007083413,sure_thing
12421,-0.00035388538,sure_thing
12422,-0.0007277599,sure_thing
12423,-0.0004313945,sure_thing
12424,-0.00045809202,sure_thing
12425,-0.0002478526,sure_thing
12426,-0.0042268634,lost_cause
12427,0.00033952208,sure_thing
12428,-0.0005814107,sure_thing
12429,-0.00017849664,sure_thing
12430,0.0015325204,sure_thing
12431,-0.0007277599,sure_thing
12432,-0.00045897375,sure_thing
12433,-0.0006129074,sure_thing
12434,-0.00030259963,sure_thing
12435,-0.000110636,sure_thing
12436,-0.00011853676,sure_thing
12437,-0.00031059125,sure_thing
12438,-0.0003510408,sure_thing
12439,-0.0018913746,lost_cause
